feature_index,extracted_raw_id,extracted_raw_id_type,extracted_from_key,all_candidate_keys_present,normalized_raw_string,normalized_trimmed,normalized_digits_only,normalized_padded_5_if_digits,crosswalk_direct_match,crosswalk_trimmed_match,crosswalk_digits_only_match,crosswalk_padded_5_match,matched_munid_5,matched_mid_7
69,11606,number,mid,"{""mid"":11606}",11606,11606,11606,11606,false,false,false,false,,
70,11614,number,mid,"{""mid"":11614}",11614,11614,11614,11614,false,false,false,false,,
71,11622,number,mid,"{""mid"":11622}",11622,11622,11622,11622,false,false,false,false,,
72,20010,number,mid,"{""mid"":20010}",20010,20010,20010,20010,false,false,false,false,,
73,20028,number,mid,"{""mid"":20028}",20028,20028,20028,20028,false,false,false,false,,
74,20036,number,mid,"{""mid"":20036}",20036,20036,20036,20036,false,false,false,false,,
75,20044,number,mid,"{""mid"":20044}",20044,20044,20044,20044,false,false,false,false,,
76,20052,number,mid,"{""mid"":20052}",20052,20052,20052,20052,false,false,false,false,,
77,20079,number,mid,"{""mid"":20079}",20079,20079,20079,20079,false,false,false,false,,
78,20087,number,mid,"{""mid"":20087}",20087,20087,20087,20087,false,false,false,false,,
79,20095,number,mid,"{""mid"":20095}",20095,20095,20095,20095,false,false,false,false,,
80,20109,number,mid,"{""mid"":20109}",20109,20109,20109,20109,false,false,false,false,,
81,20117,number,mid,"{""mid"":20117}",20117,20117,20117,20117,false,false,false,false,,
82,20125,number,mid,"{""mid"":20125}",20125,20125,20125,20125,false,false,false,false,,
83,20133,number,mid,"{""mid"":20133}",20133,20133,20133,20133,false,false,false,false,,
84,20141,number,mid,"{""mid"":20141}",20141,20141,20141,20141,false,false,false,false,,
85,20150,number,mid,"{""mid"":20150}",20150,20150,20150,20150,false,false,false,false,,
86,20168,number,mid,"{""mid"":20168}",20168,20168,20168,20168,false,false,false,false,,
87,20206,number,mid,"{""mid"":20206}",20206,20206,20206,20206,false,false,false,false,,
88,20214,number,mid,"{""mid"":20214}",20214,20214,20214,20214,false,false,false,false,,
89,20222,number,mid,"{""mid"":20222}",20222,20222,20222,20222,false,false,false,false,,
90,20249,number,mid,"{""mid"":20249}",20249,20249,20249,20249,false,false,false,false,,
91,20257,number,mid,"{""mid"":20257}",20257,20257,20257,20257,false,false,false,false,,
92,20265,number,mid,"{""mid"":20265}",20265,20265,20265,20265,false,false,false,false,,
93,20273,number,mid,"{""mid"":20273}",20273,20273,20273,20273,false,false,false,false,,
94,20281,number,mid,"{""mid"":20281}",20281,20281,20281,20281,false,false,false,false,,
95,20290,number,mid,"{""mid"":20290}",20290,20290,20290,20290,false,false,false,false,,
96,20303,number,mid,"{""mid"":20303}",20303,20303,20303,20303,false,false,false,false,,
97,20311,number,mid,"{""mid"":20311}",20311,20311,20311,20311,false,false,false,false,,
98,20320,number,mid,"{""mid"":20320}",20320,20320,20320,20320,false,false,false,false,,
99,20346,number,mid,"{""mid"":20346}",20346,20346,20346,20346,false,false,false,false,,
100,20354,number,mid,"{""mid"":20354}",20354,20354,20354,20354,false,false,false,false,,
101,20362,number,mid,"{""mid"":20362}",20362,20362,20362,20362,false,false,false,false,,
102,20389,number,mid,"{""mid"":20389}",20389,20389,20389,20389,false,false,false,false,,
103,20397,number,mid,"{""mid"":20397}",20397,20397,20397,20397,false,false,false,false,,
104,20427,number,mid,"{""mid"":20427}",20427,20427,20427,20427,false,false,false,false,,
105,20435,number,mid,"{""mid"":20435}",20435,20435,20435,20435,false,false,false,false,,
106,20451,number,mid,"{""mid"":20451}",20451,20451,20451,20451,false,false,false,false,,
107,20460,number,mid,"{""mid"":20460}",20460,20460,20460,20460,false,false,false,false,,
108,20478,number,mid,"{""mid"":20478}",20478,20478,20478,20478,false,false,false,false,,
109,20486,number,mid,"{""mid"":20486}",20486,20486,20486,20486,false,false,false,false,,
110,20494,number,mid,"{""mid"":20494}",20494,20494,20494,20494,false,false,false,false,,
111,20508,number,mid,"{""mid"":20508}",20508,20508,20508,20508,false,false,false,false,,
112,20524,number,mid,"{""mid"":20524}",20524,20524,20524,20524,false,false,false,false,,
113,20532,number,mid,"{""mid"":20532}",20532,20532,20532,20532,false,false,false,false,,
114,20559,number,mid,"{""mid"":20559}",20559,20559,20559,20559,false,false,false,false,,
115,20567,number,mid,"{""mid"":20567}",20567,20567,20567,20567,false,false,false,false,,
116,20575,number,mid,"{""mid"":20575}",20575,20575,20575,20575,false,false,false,false,,
117,20583,number,mid,"{""mid"":20583}",20583,20583,20583,20583,false,false,false,false,,
118,20591,number,mid,"{""mid"":20591}",20591,20591,20591,20591,false,false,false,false,,
119,20605,number,mid,"{""mid"":20605}",20605,20605,20605,20605,false,false,false,false,,
120,20613,number,mid,"{""mid"":20613}",20613,20613,20613,20613,false,false,false,false,,
121,20630,number,mid,"{""mid"":20630}",20630,20630,20630,20630,false,false,false,false,,
122,20648,number,mid,"{""mid"":20648}",20648,20648,20648,20648,false,false,false,false,,
123,20656,number,mid,"{""mid"":20656}",20656,20656,20656,20656,false,false,false,false,,
124,30163,number,mid,"{""mid"":30163}",30163,30163,30163,30163,false,false,false,false,,
