sid,clusterLabel,scaleLabel,shapeLabel,locationLabel,centroidX,centroidY,minX,minY,maxX,maxY,w,h,A
20079:202916,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,539.955924,48.680732,536.713320,43.490082,543.102080,53.988172,6.388760,10.498090,67.069777
20079:202924,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,557.035639,63.581423,551.783140,57.356422,559.600200,68.212182,7.817060,10.855760,84.860127
20079:202932,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,561.162448,65.110104,556.590500,58.921472,569.236590,71.087402,12.646090,12.165930,153.851446
20079:202959,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,565.502416,72.658280,557.666650,65.790452,572.496250,80.490572,14.829600,14.700120,217.996900
20079:202967,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,574.917650,79.800341,567.789190,73.381492,582.133960,84.697462,14.344770,11.315970,162.324987
20079:202975,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,546.712549,65.776302,540.437850,55.896922,553.938410,73.980332,13.500560,18.083410,244.136162
20087:202983,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,859.340541,460.790017,857.529300,458.237130,861.920170,463.615760,4.390870,5.378630,23.616865
20087:202991,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,876.319711,499.964844,872.633900,494.449110,880.058870,504.986250,7.424970,10.537140,78.237948
20087:203009,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,-37.959916,46.688152,-40.469750,43.705480,-34.679320,49.495520,5.790430,5.790040,33.526821
20087:203017,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,-20.253629,32.752851,-24.109400,28.989530,-15.930370,34.715930,8.179030,5.726400,46.836397
20087:203025,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,852.533125,441.968866,845.735810,435.699610,858.968310,447.502630,13.232500,11.803020,156.183462
20087:203033,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,877.003058,504.377991,873.363690,502.820410,879.041110,506.052660,5.677420,3.232250,18.350841
20087:203041,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,851.888230,484.451014,849.216940,481.598700,854.352030,487.390720,5.135090,5.792020,29.742544
20087:203050,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,-59.441172,16.217950,-61.332580,11.758970,-56.281480,20.273990,5.051100,8.515020,43.010218
20087:203068,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,-35.363521,47.893499,-36.384870,46.338180,-34.422010,49.147130,1.962860,2.808950,5.513576
20087:203076,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,865.482854,493.707029,864.691140,492.979490,866.370510,495.232550,1.679370,2.253060,3.783721
20087:203084,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,865.679174,481.682064,860.298500,479.450160,870.833080,483.375880,10.534580,3.925720,41.355811
20087:203092,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,865.944238,485.524474,859.872510,481.343710,872.691970,490.946560,12.819460,9.602850,123.103351
20087:203106,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,889.741778,510.525589,888.148420,507.324290,891.802590,513.780180,3.654170,6.455890,23.590920
20087:203114,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,861.805863,465.235850,857.887990,462.531540,866.128890,468.234820,8.240900,5.703280,47.000160
20087:203122,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,-43.860001,52.984166,-47.017970,50.676450,-40.146420,55.683380,6.871550,5.006930,34.405370
20087:203149,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,-36.581835,41.055536,-38.340090,38.615680,-33.988410,44.217230,4.351680,5.601550,24.376153
20087:203157,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,843.559822,510.273653,840.706800,508.838390,845.996540,511.851630,5.289740,3.013240,15.939256
20087:203165,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,849.960915,499.284657,847.935050,496.474430,852.612970,501.552710,4.677920,5.078280,23.755788
20087:203173,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,860.430033,477.551228,857.483730,475.588020,863.475030,479.132790,5.991300,3.544770,21.237781
20087:203181,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,-33.318876,67.763661,-41.696600,62.967690,-24.109440,70.378540,17.587160,7.410850,130.335805
20087:203190,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,-16.476982,52.504070,-19.355500,48.629240,-13.262610,56.935390,6.092890,8.306150,50.608458
20087:203203,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,844.730593,475.841241,839.859250,468.346160,847.955490,480.412180,8.096240,12.066020,97.689394
20087:203211,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,866.075084,500.006410,861.793160,496.369610,871.532890,504.764490,9.739730,8.394880,81.763865
20087:203220,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,833.651477,518.383443,832.513740,517.348800,834.665910,519.398080,2.152170,2.049280,4.410399
20087:203238,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,854.528977,476.757916,851.676150,474.747760,856.466780,479.324640,4.790630,4.576880,21.926139
20087:203246,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,884.733897,519.306029,881.649920,516.026550,889.387000,524.262660,7.737080,8.236110,63.723442
20087:203254,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,859.444001,498.203960,855.886200,495.770210,862.000630,501.257640,6.114430,5.487430,33.552507
20087:203262,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,855.105807,464.782864,852.629540,463.060160,856.523000,466.223600,3.893460,3.163440,12.316727
20087:203289,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,855.581022,460.105836,853.841050,457.266930,857.210420,463.216090,3.369370,5.949160,20.044921
20087:203297,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,858.852630,491.998060,857.572400,491.108790,860.213760,492.734670,2.641360,1.625880,4.294534
20087:203319,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,871.166949,496.496924,867.553380,492.098380,875.527600,503.105330,7.974220,11.006950,87.771841
20087:203327,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,854.360121,467.525819,851.200250,466.220790,856.373670,469.192710,5.173420,2.971920,15.374990
20087:203335,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,897.259703,503.315151,895.292000,501.136150,899.646800,505.548770,4.354800,4.412620,19.216078
20087:203343,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,848.369674,500.186889,840.579050,494.142420,856.975380,505.962360,16.396330,11.819940,193.803637
